iteration,c_FEB,c_JUL,c_OCT,max_delta
0,1.0,1.0,1.0,0.00715025046665807
1,0.9984642912405042,1.007150250466658,0.9943854582928379,5.850470152779508e-08
2,0.9984643050213737,1.0071501919619565,0.99438550301667,1.3018475186754586e-12
