date,cls,B2,B3,B4,B8,NDVI_raw,B8_corr,NDVI_stados
FEB,Agric_A,1286.0,1440.75,1490.75,2509.0,0.2545784111506969,2505.146941297205,0.25385963557105584
FEB,Agric_B,1454.0,1712.5,1788.0,3151.0,0.27596679489775255,3146.1610251205634,0.2752567291999509
FEB,Agric_C,1396.5,1545.0,1667.0,2612.5,0.22093702535342913,2608.487996866859,0.2202059735770034
FEB,Agric_D,1411.25,1772.0,1521.5,5342.25,0.556656346749226,5334.0459334974075,0.5561257951563908
FEB,House,2262.0,2577.2,2940.8,3641.4,0.10643857676764605,3635.8079203027673,0.10567878285053232
FEB,Trees,1288.8,1470.8,1403.4,2990.2,0.36116168973051704,2985.6079648732175,0.36049329997488894
FEB,Unmade_road,2218.8,2540.4,2708.4,3993.8,0.19178777117961265,3987.6667413921,0.191047489638095
FEB,Water,1216.6,1336.2,1254.2,1157.2,-0.04022559508998921,1155.4228937700782,-0.04099276550090206
JUL,Agric_A,1373.5,1715.0,1430.75,3544.25,0.42482412060301505,3569.5920678657785,0.4277391504094976
JUL,Agric_B,1268.0,1460.25,1252.25,5216.75,0.6128458803524501,5254.050763924328,0.6150654433488884
JUL,Agric_C,1247.5,1394.5,1197.0,5424.0,0.638423198912551,5462.782641208713,0.6405288086751278
JUL,Agric_D,1324.0,1486.75,1348.75,5364.25,0.5981677342469834,5402.605417238909,0.6004506009101218
JUL,House,2749.2,3022.8,3491.2,4081.4,0.0779388849272377,4110.582793478843,0.08147862288438157
JUL,Trees,1340.4,1614.2,1360.2,5256.4,0.5888522806275126,5293.984269035671,0.5911745316914342
JUL,Unmade_road,2690.8,3071.2,3196.4,5169.0,0.2358046238075884,5205.959342258083,0.23916607947857962
JUL,Water,1255.8,1370.6,1258.4,1108.8,-0.0631970260223049,1116.728132848861,-0.05964809442984031
OCT,Agric_A,1654.75,1875.25,2104.0,3010.0,0.1771607352366054,2993.1003640779636,0.1744325794218095
OCT,Agric_B,1264.75,1498.5,1343.75,4285.0,0.5225405285365312,4260.94188042328,0.5204910354863195
OCT,Agric_C,1246.0,1442.75,1384.75,3412.25,0.42265999583072755,3393.0919326661233,0.4203449927748932
OCT,Agric_D,1553.5,1760.5,2072.5,2856.5,0.15905863258267397,2840.462189365018,0.15631347438972942
OCT,House,2410.8,2692.0,3083.2,3752.2,0.09787283845861253,3731.1332844163903,0.09508388530072936
OCT,Trees,1216.0,1438.4,1257.0,4387.2,0.5545870096736473,4362.5680788315085,0.5526346571954437
OCT,Unmade_road,2304.8,2633.6,2729.2,4123.8,0.20350211586166647,4100.646937337112,0.2008020018486425
OCT,Water,1148.2,1269.4,1153.4,1072.0,-0.03657769389772629,1065.981259233082,-0.03938878928676095
