cls,L_temporal_before,L_temporal_after,variance_reduction_%
Water,0.0004165275549817619,0.00025367782734093746,39.09698786865493
Unmade_road,0.0010393870687330827,0.0012941172163661173,-24.507727226540087
House,0.0004276556037226978,0.0002943342539652641,31.174933427011155
Trees,0.030143489457222367,0.030539151248995325,-1.3125945233860792
