cls,ndvi_std_before,ndvi_std_after
Water,0.011783145519225924,0.009195611767593958
Unmade_road,0.01861349930143069,0.02076950662522758
House,0.011939508696238967,0.009905120796255914
Trees,0.10023886381575822,0.10089458401221763
